Lines,LineType,FromBus,ToBus,Reactance,FlowLimitForw,FlowLimitBack
D-5.To.D-9,AC,D-5,D-9,0.00858,1501,1501
D-101.To.D-91,AC,D-101,D-91,0.00325,701,701
D-116.To.D-91,AC,D-116,D-91,0.01297,1001,1001
D-76.To.D-91,AC,D-76,D-91,0.0069,501,501
D-88.To.D-91,AC,D-88,D-91,0.00935,501,501
D-114.To.D-92,AC,D-114,D-92,0.01501,1001,1001
D-100.To.D-93,AC,D-100,D-93,0.01983,1001,1001
D-82.To.D-94,AC,D-82,D-94,0.01715,501,501
D_Gronau.To.D-95,AC,D_Gronau,D-95,0.00759,1701,1701
D-75.To.D-96,AC,D-75,D-96,0.02604,1001,1001
D-91.To.D-97,AC,D-91,D-97,0.03216,1001,1001
D-83.To.D-98,AC,D-83,D-98,0.00912,1001,1001
D-103.To.D-99,AC,D-103,D-99,0.02274,1001,1001
D-213.To.E_obermo,AC,D-213,E_obermo,0.01547,10000,10000
E-218.To.E_obermo,AC,E-218,E_obermo,0.01232,6600,6600
D-194.To.E-204,AC,D-194,E-204,0.00635,10000,10000
D-208.To.E-215,AC,D-208,E-215,0.01279,10000,10000
E-217.To.E-215,AC,E-217,E-215,0.00685,5100,5100
E-220.To.E-217,AC,E-220,E-217,0.02255,501,501
D_Tienge.To.E-218,AC,D_Tienge,E-218,0.02441,10000,10000
D_Tienge.To.E-223,AC,D_Tienge,E-223,0.04774,10000,10000
